date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-10-13 00:00:00+00:00,7.97,8.08,7.75,7.79,277408,7.97,8.08,7.75,7.79,277408,0.0,1.0
2023-10-16 00:00:00+00:00,8.12,8.32,7.9747,8.32,222516,8.12,8.32,7.9747,8.32,222516,0.0,1.0
2023-10-17 00:00:00+00:00,8.37,8.42,8.03,8.13,233145,8.37,8.42,8.03,8.13,233145,0.0,1.0
2023-10-18 00:00:00+00:00,8.36,8.61,8.28,8.35,216724,8.36,8.61,8.28,8.35,216724,0.0,1.0
2023-10-19 00:00:00+00:00,7.66,8.38,7.61,8.38,404696,7.66,8.38,7.61,8.38,404696,0.0,1.0
2023-10-20 00:00:00+00:00,7.34,7.7152,7.3,7.62,367239,7.34,7.7152,7.3,7.62,367239,0.0,1.0
2023-10-23 00:00:00+00:00,7.29,7.47,7.23,7.36,148880,7.29,7.47,7.23,7.36,148880,0.0,1.0
2023-10-24 00:00:00+00:00,7.295,7.44,7.225,7.32,186472,7.295,7.44,7.225,7.32,186472,0.0,1.0
2023-10-25 00:00:00+00:00,7.1,7.25,7.08,7.23,191460,7.1,7.25,7.08,7.23,191460,0.0,1.0
2023-10-26 00:00:00+00:00,7.15,7.255,7.04,7.11,302887,7.15,7.255,7.04,7.11,302887,0.0,1.0
2023-10-27 00:00:00+00:00,8.34,8.45,7.755,8.0,938734,8.34,8.45,7.755,8.0,938734,0.0,1.0
2023-10-30 00:00:00+00:00,8.58,8.69,8.28,8.32,426452,8.58,8.69,8.28,8.32,426452,0.0,1.0
2023-10-31 00:00:00+00:00,8.88,9.14,8.49,9.0,551247,8.88,9.14,8.49,9.0,551247,0.0,1.0
2023-11-01 00:00:00+00:00,8.89,9.104,8.68,8.91,304655,8.89,9.104,8.68,8.91,304655,0.0,1.0
2023-11-02 00:00:00+00:00,9.08,9.49,9.05,9.14,362539,9.08,9.49,9.05,9.14,362539,0.0,1.0
2023-11-03 00:00:00+00:00,9.155,9.31,9.02,9.08,280707,9.155,9.31,9.02,9.08,280707,0.0,1.0
2023-11-06 00:00:00+00:00,9.29,9.4,9.12,9.22,243811,9.29,9.4,9.12,9.22,243811,0.0,1.0
2023-11-07 00:00:00+00:00,9.3,9.54,9.22,9.3,271113,9.3,9.54,9.22,9.3,271113,0.0,1.0
2023-11-08 00:00:00+00:00,9.05,9.3,8.98,9.3,200159,9.05,9.3,8.98,9.3,200159,0.0,1.0
2023-11-09 00:00:00+00:00,8.95,9.09,8.84,9.05,228483,8.95,9.09,8.84,9.05,228483,0.0,1.0
2023-11-10 00:00:00+00:00,8.94,9.04,8.84,8.9,162316,8.94,9.04,8.84,8.9,162316,0.0,1.0
2023-11-13 00:00:00+00:00,8.86,9.121,8.84,8.9,197173,8.86,9.121,8.84,8.9,197173,0.0,1.0
2023-11-14 00:00:00+00:00,9.25,9.25,8.931,9.02,210753,9.25,9.25,8.931,9.02,210753,0.0,1.0
2023-11-15 00:00:00+00:00,8.82,9.54,8.79,9.23,384647,8.82,9.54,8.79,9.23,384647,0.0,1.0
2023-11-16 00:00:00+00:00,8.65,8.95,8.55,8.9,524664,8.65,8.95,8.55,8.9,524664,0.0,1.0
2023-11-17 00:00:00+00:00,8.55,8.68,8.415,8.67,411760,8.55,8.68,8.415,8.67,411760,0.0,1.0
2023-11-20 00:00:00+00:00,8.99,9.03,8.46,8.59,521464,8.99,9.03,8.46,8.59,521464,0.0,1.0
2023-11-21 00:00:00+00:00,8.94,9.094,8.84,8.99,308533,8.94,9.094,8.84,8.99,308533,0.0,1.0
2023-11-22 00:00:00+00:00,9.08,9.15,8.92,8.92,178637,9.08,9.15,8.92,8.92,178637,0.0,1.0
2023-11-24 00:00:00+00:00,9.54,9.57,9.08,9.08,156391,9.54,9.57,9.08,9.08,156391,0.0,1.0
2023-11-27 00:00:00+00:00,9.37,9.68,9.277,9.46,331711,9.37,9.68,9.277,9.46,331711,0.0,1.0
2023-11-28 00:00:00+00:00,9.22,9.46,9.205,9.38,255938,9.22,9.46,9.205,9.38,255938,0.0,1.0
